index,status,seniority,home,time,age,marital,records,job,expenses,income,assets,debt,amount,price
28,default,3,owner,24,23,married,no,fixed,75,85.0,5000.0,0.0,600,1600
29,default,0,unk,48,37,single,no,unk,35,,,,1500,1850
30,ok,4,owner,48,29,married,no,fixed,45,150.0,5000.0,3300.0,1100,1312
31,default,0,owner,36,23,single,no,parttime,45,122.0,2500.0,0.0,400,400
32,ok,14,private,24,51,married,no,parttime,75,198.0,1000.0,0.0,450,650
33,ok,10,owner,36,39,married,no,freelance,75,150.0,3000.0,0.0,1000,1394
34,ok,12,parents,36,35,single,no,fixed,35,170.0,0.0,0.0,1100,1542
35,ok,32,owner,24,62,married,no,freelance,45,119.0,8500.0,0.0,700,1200
36,ok,10,owner,24,56,married,no,freelance,45,208.0,13500.0,0.0,500,1560
37,ok,7,owner,48,32,married,no,fixed,75,115.0,3000.0,0.0,800,1200
38,default,1,rent,54,36,married,no,fixed,70,99.0,0.0,0.0,950,950
39,ok,30,owner,60,64,married,no,fixed,45,120.0,14000.0,0.0,1125,1300
40,default,5,rent,48,31,single,no,fixed,44,90.0,0.0,0.0,1300,1700
41,ok,24,owner,60,42,married,no,fixed,75,137.0,4000.0,0.0,900,1167
42,ok,0,owner,60,61,widow,no,others,35,230.0,50000.0,0.0,950,1150
43,default,0,owner,60,32,married,yes,fixed,45,142.0,7000.0,3000.0,1250,1566
44,default,2,owner,60,43,married,no,parttime,75,71.0,3000.0,0.0,1500,1552
45,ok,1,parents,60,26,single,no,parttime,35,120.0,0.0,0.0,1150,1300
46,ok,1,owner,60,49,widow,no,freelance,35,233.0,15900.0,4500.0,2100,2104
47,ok,15,owner,36,47,married,no,fixed,75,289.0,3500.0,0.0,1500,2154
48,default,2,rent,36,27,separated,no,fixed,48,128.0,0.0,0.0,450,545
49,ok,25,owner,36,52,married,no,freelance,60,150.0,15000.0,0.0,750,1778
50,ok,8,owner,60,28,married,no,fixed,60,145.0,4000.0,1000.0,1600,1718
51,ok,5,owner,60,31,married,no,fixed,75,90.0,4000.0,0.0,900,1500
52,ok,0,rent,60,32,married,no,fixed,105,301.0,0.0,0.0,1200,1274
53,ok,5,owner,36,51,married,no,freelance,75,200.0,2100.0,1200.0,900,1015
54,ok,3,parents,12,37,married,no,freelance,60,150.0,500.0,0.0,500,1701
55,default,1,rent,48,29,married,yes,freelance,85,100.0,0.0,0.0,1000,1345
56,ok,7,parents,60,26,single,no,fixed,35,100.0,0.0,0.0,1000,1238
57,ok,4,parents,30,27,single,no,fixed,45,100.0,5000.0,0.0,500,1048
58,ok,6,owner,24,63,married,no,fixed,60,155.0,4000.0,0.0,600,1048
59,ok,14,owner,24,55,married,no,fixed,90,715.0,5000.0,0.0,800,1324
60,ok,3,rent,60,28,married,no,fixed,70,245.0,0.0,0.0,1830,2201
61,ok,8,rent,48,31,married,no,fixed,90,150.0,0.0,0.0,1100,1430
62,default,4,parents,42,27,single,no,fixed,35,70.0,0.0,0.0,600,926
63,ok,22,owner,24,40,married,no,fixed,75,190.0,3000.0,0.0,1000,1500
64,ok,2,owner,36,35,married,no,fixed,75,152.0,3000.0,0.0,1000,1542
65,ok,15,private,60,43,married,no,fixed,75,126.0,3000.0,0.0,1350,1360
66,ok,10,owner,18,34,married,no,freelance,75,181.0,4000.0,0.0,600,1000
67,ok,4,owner,60,37,married,no,fixed,60,185.0,3000.0,0.0,1200,1564
68,ok,9,owner,60,53,married,no,fixed,45,170.0,2500.0,0.0,850,1205
69,ok,22,rent,60,46,married,no,fixed,93,176.0,7500.0,0.0,2000,2200
70,ok,18,parents,36,36,married,no,freelance,60,238.0,0.0,0.0,900,2214
71,ok,1,private,60,46,married,no,fixed,60,115.0,5500.0,800.0,1000,1137
72,ok,14,owner,48,43,married,no,fixed,45,200.0,9000.0,0.0,600,1025
73,ok,8,owner,36,31,married,yes,freelance,75,411.0,9000.0,4000.0,800,1593
74,ok,5,owner,24,43,married,no,fixed,75,93.0,3000.0,0.0,700,1735
75,ok,19,rent,60,38,married,no,fixed,86,108.0,0.0,0.0,1000,1132
76,ok,14,owner,12,37,married,no,freelance,90,500.0,4000.0,0.0,500,1338
77,ok,0,other,36,46,married,yes,others,45,45.0,0.0,0.0,900,1100
78,ok,9,rent,36,55,married,no,fixed,70,250.0,30000.0,0.0,1750,2276
79,ok,29,owner,48,56,married,no,fixed,45,100.0,3000.0,0.0,900,1360
80,ok,10,owner,36,55,married,no,fixed,60,70.0,4000.0,0.0,1000,1436
81,ok,10,parents,36,52,married,no,fixed,60,150.0,0.0,0.0,550,612
82,default,1,owner,36,29,married,no,fixed,60,70.0,4500.0,0.0,850,1100
83,ok,11,owner,60,39,divorced,yes,fixed,35,263.0,2500.0,0.0,1000,1300
84,ok,10,owner,60,38,married,no,freelance,75,200.0,9000.0,0.0,1000,2089
85,ok,5,owner,24,24,single,no,fixed,35,78.0,6000.0,3000.0,500,2262
86,ok,10,rent,60,28,single,no,fixed,47,120.0,0.0,0.0,600,1054
87,ok,27,owner,60,53,married,no,fixed,60,125.0,10000.0,0.0,1426,1426
88,default,0,rent,60,25,single,no,parttime,40,50.0,0.0,0.0,1040,1048
89,default,25,rent,60,62,married,no,fixed,60,146.0,0.0,0.0,1000,1292
90,ok,3,parents,60,29,single,no,fixed,35,70.0,0.0,0.0,950,1177
91,default,9,parents,60,32,single,yes,fixed,35,105.0,0.0,0.0,1490,1490
92,ok,4,rent,36,21,married,no,freelance,101,413.0,6000.0,0.0,750,850
93,ok,6,rent,36,38,married,no,freelance,95,500.0,25000.0,21400.0,800,1011
94,ok,9,rent,48,56,married,no,freelance,140,350.0,0.0,0.0,1400,1571
95,ok,3,owner,36,41,married,no,freelance,75,200.0,3000.0,0.0,1000,1000
96,default,22,other,36,46,married,no,fixed,45,138.0,0.0,0.0,250,270
97,ok,3,owner,60,54,widow,no,others,35,80.0,4000.0,0.0,950,1382
98,ok,30,owner,36,51,married,no,freelance,120,208.0,15000.0,0.0,1500,1713
99,ok,8,rent,60,52,married,no,fixed,89,137.0,4000.0,0.0,800,1086
100,ok,38,owner,48,57,married,no,freelance,45,58.0,12000.0,0.0,1500,3262
101,ok,2,rent,60,33,married,no,fixed,73,130.0,0.0,0.0,1100,1610
102,ok,4,owner,60,33,married,no,fixed,75,123.0,6000.0,1000.0,600,1030
103,default,0,rent,36,29,married,no,parttime,78,180.0,0.0,0.0,650,650
104,default,2,other,48,23,single,no,fixed,35,140.0,0.0,0.0,1950,2175
105,ok,8,owner,24,33,married,no,fixed,75,315.0,4500.0,0.0,400,1780
106,default,1,rent,36,24,married,no,parttime,76,164.0,0.0,0.0,900,950
107,default,6,parents,60,28,married,no,freelance,90,325.0,7000.0,0.0,1200,1211
108,ok,5,owner,60,27,married,no,fixed,45,135.0,5000.0,1400.0,1600,1650
109,default,13,parents,36,33,single,no,fixed,35,109.0,0.0,0.0,350,350
110,ok,11,rent,60,32,married,no,fixed,79,185.0,0.0,0.0,950,1117
111,ok,10,owner,24,39,married,no,fixed,45,217.0,9000.0,3000.0,1500,2468
112,default,20,owner,60,51,married,no,freelance,90,300.0,12500.0,2500.0,1340,1740
113,default,0,owner,36,39,single,no,freelance,35,0.0,4000.0,0.0,1000,1210
114,ok,13,owner,48,29,married,no,fixed,60,253.0,3000.0,0.0,670,963
115,default,2,owner,36,32,married,no,fixed,75,101.0,1500.0,400.0,1200,1646
116,default,3,owner,36,40,married,yes,freelance,35,200.0,10000.0,0.0,800,800
117,ok,12,owner,36,47,married,no,fixed,75,124.0,3500.0,0.0,460,470
118,ok,20,owner,24,66,married,no,fixed,45,143.0,10000.0,0.0,950,1370
119,ok,3,private,48,39,separated,no,freelance,35,250.0,4000.0,1500.0,700,839
120,ok,27,owner,60,50,married,no,fixed,75,135.0,5500.0,1000.0,600,1346
121,ok,4,rent,60,25,married,no,fixed,57,115.0,0.0,0.0,900,1350
122,default,1,owner,60,27,married,no,parttime,75,160.0,4000.0,3000.0,1800,2100
123,ok,18,rent,60,54,married,no,fixed,66,214.0,0.0,0.0,1300,1307
124,ok,12,rent,60,42,married,no,fixed,114,390.0,0.0,0.0,1100,1126
125,ok,12,owner,48,35,separated,no,freelance,45,500.0,200000.0,0.0,2380,4786
126,default,0,parents,60,23,single,no,parttime,35,95.0,0.0,0.0,1400,1478
127,ok,12,owner,60,52,married,no,fixed,75,200.0,12000.0,0.0,1550,1568
128,ok,0,parents,24,22,single,no,parttime,35,85.0,0.0,0.0,650,1056
129,ok,10,other,18,48,married,no,fixed,90,214.0,0.0,0.0,1000,1608
130,ok,2,owner,60,25,married,no,fixed,75,140.0,3000.0,0.0,950,1179
131,default,10,other,60,26,married,no,fixed,45,60.0,0.0,0.0,1400,1524
132,ok,8,owner,60,28,married,no,fixed,75,180.0,4000.0,0.0,1300,1730
133,ok,20,owner,30,62,married,no,freelance,60,300.0,24000.0,9000.0,600,823
134,ok,0,rent,60,33,married,no,freelance,65,200.0,0.0,0.0,700,800
135,ok,16,parents,60,41,married,no,fixed,75,242.0,0.0,0.0,1300,1482
136,ok,4,owner,60,29,married,no,parttime,60,155.0,5000.0,2500.0,900,1110
137,default,1,rent,60,37,single,no,fixed,45,100.0,0.0,0.0,1150,1555
138,ok,0,owner,60,31,married,no,fixed,60,105.0,3500.0,0.0,1100,1170
139,ok,15,owner,12,50,married,no,freelance,45,166.0,2000.0,0.0,500,886
140,default,13,rent,60,42,separated,yes,fixed,47,120.0,0.0,0.0,800,1395
141,ok,19,owner,36,33,married,no,fixed,60,115.0,6700.0,2000.0,1000,2084
142,ok,15,owner,24,54,married,no,freelance,90,350.0,150000.0,0.0,3800,8800
143,ok,40,owner,36,58,married,no,freelance,75,0.0,50000.0,0.0,1000,1160
144,ok,9,rent,60,40,married,no,fixed,119,442.0,6000.0,1947.0,900,1211
145,default,12,parents,60,31,separated,yes,fixed,35,101.0,0.0,0.0,1300,1300
146,default,0,owner,36,35,married,yes,fixed,105,122.0,5200.0,2000.0,850,850
147,ok,14,owner,60,64,married,no,freelance,60,250.0,10000.0,0.0,700,1204
148,ok,10,parents,24,29,single,no,freelance,35,90.0,0.0,0.0,600,1528
149,ok,2,owner,48,33,married,no,fixed,45,160.0,6000.0,0.0,1200,1298
150,ok,15,owner,18,35,married,no,freelance,60,300.0,4000.0,0.0,300,600
151,default,1,parents,48,28,single,no,fixed,35,83.0,0.0,0.0,1000,1320
152,ok,27,owner,60,59,married,no,freelance,45,0.0,11000.0,0.0,1100,1300
153,default,0,other,60,25,married,no,parttime,60,60.0,0.0,0.0,1300,1380
154,default,0,parents,60,23,single,no,parttime,35,205.0,0.0,0.0,1400,1426
155,ok,3,owner,24,30,married,no,freelance,75,133.0,12000.0,900.0,1500,5200
156,ok,8,rent,36,36,married,no,fixed,78,179.0,0.0,0.0,900,1503
157,ok,3,owner,48,25,single,no,freelance,35,0.0,4000.0,0.0,1200,1449
158,ok,5,other,60,22,single,no,fixed,45,195.0,0.0,0.0,700,1422
159,ok,9,owner,24,45,married,no,fixed,75,112.0,4000.0,0.0,500,1430
160,ok,4,owner,30,47,married,no,freelance,90,210.0,15000.0,0.0,1550,1578
161,ok,14,private,48,36,married,no,fixed,75,155.0,3500.0,200.0,1100,1250
162,ok,3,owner,36,36,single,yes,freelance,35,394.0,16000.0,0.0,1500,2260
163,ok,22,rent,36,60,married,no,fixed,60,149.0,0.0,0.0,200,280
164,ok,20,rent,48,59,married,no,fixed,57,120.0,0.0,0.0,800,1298
165,default,6,owner,48,58,married,yes,freelance,60,400.0,86000.0,0.0,930,945
166,ok,23,owner,12,37,married,no,fixed,45,165.0,5000.0,0.0,900,1694
167,default,5,owner,36,32,married,no,freelance,75,125.0,6000.0,0.0,600,700
168,ok,8,rent,48,26,single,no,fixed,42,74.0,0.0,0.0,600,1290
169,ok,5,owner,60,40,married,no,fixed,75,86.0,4900.0,0.0,1300,1581
170,ok,20,owner,48,55,married,no,fixed,45,185.0,5000.0,0.0,1000,1383
171,ok,11,rent,60,30,married,no,fixed,77,165.0,0.0,0.0,1350,1637
172,ok,25,parents,54,43,married,no,fixed,75,110.0,7000.0,0.0,1275,1275
173,default,2,rent,60,28,married,no,fixed,74,138.0,0.0,0.0,1400,1400
174,ok,20,owner,24,47,married,no,freelance,75,300.0,5000.0,0.0,600,832
175,ok,9,owner,36,29,single,no,fixed,35,147.0,3500.0,0.0,1886,2886
176,default,0,rent,60,48,separated,yes,freelance,35,0.0,25300.0,15500.0,1200,1257
177,ok,18,parents,60,34,married,no,fixed,60,112.0,6550.0,0.0,600,1346
178,ok,20,owner,60,53,married,yes,freelance,75,350.0,6500.0,0.0,800,1138
179,ok,6,owner,12,44,married,no,fixed,45,110.0,15000.0,0.0,300,1801
180,default,0,owner,48,49,married,no,parttime,45,75.0,2000.0,0.0,900,1200
181,ok,0,rent,36,51,married,no,fixed,113,230.0,0.0,0.0,950,950
182,ok,14,ignore,60,34,married,no,fixed,75,85.0,8000.0,0.0,1400,1589
183,ok,10,owner,48,42,married,no,freelance,75,210.0,4000.0,120.0,1200,1617
184,ok,19,owner,60,34,married,no,fixed,75,125.0,5000.0,0.0,1200,1200
185,ok,11,owner,60,46,married,no,fixed,75,149.0,3500.0,0.0,1400,2194
186,ok,1,owner,48,31,married,no,fixed,75,201.0,2500.0,96.0,1100,1642
187,default,13,other,60,31,married,no,fixed,60,105.0,0.0,0.0,1200,1423
188,ok,4,rent,12,33,married,no,fixed,78,183.0,0.0,0.0,600,1600
189,default,9,rent,24,30,single,yes,fixed,46,113.0,0.0,0.0,700,700
190,ok,1,owner,24,27,married,no,fixed,45,126.0,3000.0,3700.0,200,300
191,ok,4,owner,36,48,married,no,freelance,120,300.0,5000.0,0.0,1000,1165
192,ok,2,owner,60,33,married,no,fixed,75,160.0,6000.0,0.0,1000,1365
193,ok,2,owner,12,44,married,no,fixed,90,160.0,7500.0,0.0,500,1706
194,default,0,other,36,48,married,yes,freelance,45,0.0,0.0,0.0,1600,2053
195,ok,21,owner,60,57,married,no,freelance,60,95.0,8000.0,0.0,1000,1700
196,ok,12,owner,60,34,married,yes,fixed,75,125.0,5500.0,4000.0,950,1462
197,ok,9,rent,60,38,married,no,fixed,87,120.0,0.0,0.0,1177,1300
198,ok,2,rent,36,35,married,no,fixed,126,359.0,0.0,0.0,870,1122
199,ok,24,owner,60,52,married,no,fixed,45,80.0,4000.0,0.0,1200,1257
200,ok,1,parents,60,28,single,no,parttime,35,67.0,0.0,0.0,1050,1387
201,ok,15,owner,48,46,married,no,fixed,90,148.0,12000.0,0.0,1000,1266
202,ok,19,owner,60,56,married,yes,fixed,45,298.0,8000.0,0.0,1700,2195
203,ok,10,owner,24,52,married,no,fixed,75,318.0,4500.0,700.0,700,2004
204,ok,19,owner,60,35,married,no,fixed,75,185.0,4000.0,0.0,1100,1203
205,ok,10,owner,36,45,married,yes,freelance,60,0.0,9500.0,250.0,750,1138
206,ok,4,parents,48,29,married,no,fixed,45,194.0,0.0,0.0,1200,1374
207,default,1,parents,60,22,single,no,fixed,35,80.0,3000.0,0.0,1500,1514
208,ok,2,owner,24,33,married,yes,fixed,75,147.0,2000.0,900.0,400,750
209,ok,5,owner,24,41,married,no,freelance,105,156.0,10000.0,0.0,800,1894
210,ok,11,owner,36,37,married,no,fixed,75,178.0,3000.0,0.0,1000,1048
211,ok,23,owner,24,46,married,no,fixed,75,130.0,4000.0,0.0,400,1369
212,default,4,other,36,19,single,no,parttime,35,63.0,0.0,0.0,1000,1035
213,default,5,parents,36,22,single,no,fixed,35,88.0,0.0,0.0,750,1218
214,ok,15,parents,60,31,married,no,fixed,45,140.0,0.0,0.0,1200,1637
215,default,1,private,60,44,married,no,parttime,45,115.0,2000.0,0.0,750,953
216,ok,9,owner,60,48,married,yes,fixed,60,83.0,2500.0,0.0,1100,1212
217,ok,4,private,36,31,married,no,fixed,60,144.0,3000.0,0.0,1000,1218
218,ok,20,owner,24,53,married,no,freelance,45,200.0,100000.0,0.0,1000,1419
219,ok,10,other,60,36,married,no,fixed,90,172.0,3000.0,0.0,1100,1100
220,ok,2,private,60,46,married,no,freelance,105,200.0,4000.0,500.0,900,987
221,ok,15,owner,60,37,married,no,fixed,60,318.0,7000.0,0.0,1900,2400
222,ok,8,owner,60,34,married,no,fixed,60,177.0,6300.0,4000.0,1370,1375
223,ok,4,owner,48,36,married,no,fixed,60,133.0,4000.0,0.0,1000,1595
224,ok,4,owner,60,64,single,no,others,35,150.0,9000.0,0.0,984,1054
225,ok,1,owner,36,27,single,no,fixed,35,208.0,9000.0,0.0,1000,1651
226,ok,10,owner,30,26,married,no,fixed,75,145.0,1434.0,0.0,300,1542
227,ok,32,owner,60,53,married,no,fixed,60,157.0,5000.0,0.0,2000,2014
228,ok,12,owner,60,50,married,no,fixed,45,190.0,9500.0,200.0,1800,2624
229,default,0,parents,60,21,single,no,parttime,35,86.0,0.0,0.0,1000,1135
230,ok,20,parents,24,40,single,no,fixed,35,90.0,0.0,0.0,600,1105
231,ok,6,rent,60,49,married,yes,parttime,100,100.0,30000.0,0.0,1500,1500
232,default,4,rent,24,40,married,yes,fixed,56,214.0,0.0,0.0,800,1200
233,ok,1,rent,60,37,single,no,fixed,45,100.0,0.0,0.0,1150,1555
234,ok,2,rent,48,25,married,no,fixed,57,117.0,0.0,0.0,800,2251
235,ok,25,owner,18,40,married,no,fixed,45,110.0,4000.0,0.0,455,1542
236,ok,1,rent,36,22,married,no,fixed,62,168.0,0.0,0.0,1200,2186
237,ok,10,owner,48,49,married,no,freelance,45,150.0,9000.0,0.0,1700,1700
238,ok,2,owner,60,34,married,no,fixed,45,166.0,7000.0,0.0,600,1180
239,ok,3,unk,24,42,single,no,fixed,35,337.0,,,1300,1624
240,default,13,rent,24,49,married,no,freelance,90,0.0,0.0,0.0,700,800
241,default,10,rent,60,43,married,no,freelance,90,0.0,0.0,0.0,1350,1668
242,ok,20,owner,36,42,married,no,freelance,90,250.0,4500.0,0.0,1500,1750
243,ok,10,owner,48,28,married,yes,parttime,60,120.0,2500.0,1500.0,600,875
244,ok,1,owner,60,30,married,no,freelance,35,236.0,3500.0,1000.0,1000,1514
245,default,1,owner,60,25,separated,yes,parttime,45,277.0,6000.0,3500.0,1700,1950
246,default,0,parents,60,22,single,no,parttime,35,55.0,0.0,0.0,950,1462
247,ok,5,parents,36,27,single,no,fixed,35,200.0,4000.0,0.0,600,1098
248,ok,3,parents,60,26,single,no,fixed,45,235.0,0.0,0.0,800,840
249,default,0,owner,48,28,married,no,fixed,45,80.0,1500.0,0.0,1260,1634
250,ok,6,owner,48,35,married,no,freelance,45,200.0,7000.0,0.0,1540,1603
251,ok,21,private,60,51,married,no,fixed,45,140.0,3000.0,0.0,1200,1200
252,ok,5,rent,60,24,married,no,fixed,73,125.0,0.0,0.0,700,1360
253,ok,12,rent,60,34,married,no,fixed,94,185.0,0.0,0.0,1200,1236
254,ok,13,owner,42,34,married,no,fixed,105,190.0,2500.0,300.0,1100,1395
255,ok,10,owner,60,49,married,no,freelance,60,150.0,23000.0,0.0,1200,1390
256,ok,6,owner,60,28,married,no,fixed,60,102.0,5000.0,0.0,700,1355
257,ok,18,rent,60,57,married,no,fixed,77,170.0,4000.0,0.0,1300,1604
258,ok,15,owner,60,63,married,no,fixed,60,315.0,3500.0,266.0,1000,1241
259,default,0,rent,12,37,married,no,others,88,130.0,0.0,0.0,250,375
260,ok,2,owner,36,27,married,no,fixed,45,156.0,6000.0,0.0,700,1045
261,ok,18,rent,60,39,married,no,fixed,93,177.0,0.0,0.0,800,1781
262,ok,12,owner,36,64,single,yes,freelance,60,341.0,4500.0,0.0,900,900
263,ok,25,owner,48,49,married,no,freelance,105,240.0,12000.0,4200.0,1660,1698
264,ok,8,owner,12,49,married,no,freelance,60,142.0,6000.0,0.0,200,1048
265,ok,20,owner,36,45,married,no,freelance,75,333.0,5000.0,0.0,1000,2200
266,ok,3,parents,60,27,single,no,fixed,35,125.0,5000.0,0.0,770,1119
267,ok,2,parents,36,30,married,no,fixed,45,170.0,0.0,0.0,700,1090
268,default,2,owner,36,33,married,no,freelance,75,220.0,16000.0,500.0,3000,4100
269,ok,15,owner,36,40,married,no,fixed,60,230.0,8500.0,480.0,700,1400
270,ok,3,owner,60,30,separated,no,fixed,60,157.0,15000.0,0.0,1000,2010
271,ok,4,parents,12,30,married,no,fixed,60,340.0,16000.0,0.0,1900,2014
272,ok,3,owner,60,25,married,no,parttime,60,120.0,3500.0,200.0,1000,1342
273,ok,9,rent,60,40,single,no,fixed,44,91.0,0.0,0.0,1000,1132
274,default,4,private,42,50,married,no,freelance,60,150.0,7000.0,0.0,900,1048
275,ok,2,owner,36,23,single,no,fixed,35,88.0,5500.0,0.0,750,1218
276,ok,1,other,48,28,single,no,parttime,35,120.0,0.0,0.0,900,1114
277,default,2,rent,60,35,married,yes,freelance,75,0.0,0.0,0.0,1000,1206
278,ok,2,rent,60,27,married,no,fixed,56,106.0,0.0,0.0,650,2132
279,ok,2,parents,36,19,married,no,fixed,35,162.0,4000.0,100.0,400,570
280,ok,3,parents,60,39,married,no,fixed,45,77.0,0.0,0.0,1000,1094
281,ok,8,private,36,39,married,no,fixed,75,128.0,2500.0,0.0,550,550
282,ok,10,owner,48,55,widow,no,fixed,35,189.0,9000.0,0.0,1200,1255
283,ok,10,owner,36,32,married,no,freelance,60,300.0,40000.0,3000.0,2000,4138
284,ok,5,owner,60,54,married,no,freelance,60,92.0,6000.0,1700.0,1700,1714
285,ok,20,owner,48,58,married,no,freelance,60,380.0,35000.0,0.0,1100,1150
286,ok,5,owner,24,37,married,no,freelance,75,500.0,14000.0,0.0,1500,2673
287,ok,20,parents,60,36,married,no,freelance,60,130.0,0.0,0.0,1200,1630
288,ok,12,owner,60,28,married,no,fixed,45,141.0,6000.0,400.0,1100,1544
289,ok,13,owner,60,38,married,no,fixed,75,220.0,6500.0,3600.0,1000,1195
290,ok,11,owner,36,26,married,no,fixed,60,146.0,5000.0,1300.0,400,1206
291,ok,17,owner,60,41,married,no,freelance,75,250.0,13500.0,3700.0,1400,2050
292,ok,6,owner,36,42,married,no,fixed,60,132.0,6000.0,0.0,1200,1513
293,ok,22,owner,6,46,married,no,freelance,90,150.0,75000.0,0.0,3000,3300
294,ok,25,rent,60,52,married,no,fixed,73,127.0,0.0,0.0,1030,1250
295,default,8,owner,60,30,married,no,parttime,60,90.0,3000.0,500.0,1000,1339
296,default,19,owner,60,47,married,yes,freelance,90,166.0,12500.0,1000.0,875,875
297,ok,3,owner,18,66,married,no,others,45,69.0,12000.0,0.0,500,1101
298,ok,35,owner,60,54,married,no,fixed,45,182.0,4000.0,0.0,1000,1568
299,ok,0,owner,42,65,married,no,others,45,77.0,4000.0,2000.0,750,1194
300,default,7,other,60,25,married,no,fixed,45,50.0,0.0,0.0,950,1378
301,ok,3,owner,60,31,single,no,fixed,35,131.0,4000.0,0.0,1050,1139
302,ok,1,parents,24,23,single,no,fixed,35,62.0,0.0,0.0,350,350
303,default,5,owner,60,35,married,no,fixed,75,60.0,3000.0,400.0,1150,1406
304,ok,2,owner,60,47,married,no,fixed,90,86.0,4500.0,0.0,1200,1497
305,default,13,rent,36,28,married,no,fixed,59,143.0,0.0,0.0,1400,1600
306,default,27,rent,60,50,married,yes,fixed,87,120.0,0.0,0.0,1300,1350
307,default,3,other,60,25,single,no,fixed,35,283.0,0.0,0.0,2000,2032
308,ok,0,owner,36,39,married,no,fixed,60,138.0,3000.0,0.0,1400,2610
309,ok,1,private,12,46,married,no,others,90,90.0,2000.0,600.0,500,1193
310,default,1,rent,60,36,married,yes,fixed,85,99.0,0.0,0.0,1200,1275
311,default,10,owner,36,39,married,yes,freelance,75,160.0,15000.0,0.0,3250,3750
312,ok,1,owner,60,25,married,no,parttime,60,330.0,9000.0,3500.0,1300,2500
313,ok,6,owner,36,49,married,no,freelance,60,100.0,22000.0,0.0,1000,1790
314,default,3,rent,48,52,married,no,fixed,96,210.0,0.0,0.0,1400,1419
315,ok,10,rent,30,34,separated,no,fixed,45,100.0,0.0,0.0,700,1480
316,ok,0,owner,36,24,single,no,parttime,45,97.0,8000.0,0.0,600,1542
317,default,1,rent,60,38,married,no,freelance,45,0.0,0.0,0.0,1500,1850
318,ok,6,owner,48,24,married,no,fixed,45,227.0,3000.0,0.0,600,1380
319,ok,5,owner,42,33,married,yes,fixed,45,140.0,22000.0,2500.0,1200,1888
320,default,1,rent,48,31,married,no,fixed,87,115.0,0.0,0.0,1100,1672
321,ok,37,owner,48,63,married,no,fixed,60,150.0,3500.0,0.0,700,808
322,default,1,parents,60,23,single,no,fixed,35,90.0,0.0,0.0,1100,1107
323,ok,40,owner,42,61,married,no,fixed,90,275.0,12000.0,0.0,1000,1335
324,ok,5,parents,60,28,single,no,fixed,35,176.0,0.0,0.0,1190,1390
325,ok,11,rent,60,58,married,no,fixed,71,110.0,3000.0,0.0,1150,1363
326,ok,23,owner,60,41,married,no,fixed,75,140.0,3000.0,0.0,1450,1482
327,ok,23,owner,60,38,married,no,fixed,45,500.0,3500.0,0.0,1900,2357
328,default,5,owner,60,27,married,no,fixed,75,66.0,3000.0,0.0,600,850
329,ok,10,owner,60,55,married,no,freelance,60,0.0,10000.0,0.0,1000,1180
330,ok,5,owner,48,40,married,no,freelance,75,145.0,6000.0,0.0,825,1617
